WIMB,Monoglobus_absabun,Ruminococcus_torques_group_absabund,Monoglobus_relabund,Ruminococcus_torques_group_relabund,Totalreads_sample,SPID
601,26,22,0.000455812,0.000385687,57041,5105485406
602,138,107,0.005712393,0.004429175,24158,1648101185
603,186,804,0.010337353,0.044684044,17993,1183640176
604,295,2826,0.009195187,0.088086778,32082,1147014156
605,26,694,0.001467186,0.039162575,17721,2085184258
608,153,1000,0.007364266,0.048132461,20776,3336357770
609,89,691,0.003572575,0.027737636,24912,3386436855
61,144,1219,0.003944989,0.03339543,36502,5084836450
610,200,94,0.008185316,0.003847098,24434,2075683408
611,10,432,0.000357347,0.015437393,27984,1143458081
612,9,1541,0.000330336,0.056560837,27245,5105442110
613,176,341,0.009199728,0.017824473,19131,2080257514
614,31,254,0.002088105,0.017108986,14846,2084800633
615,35,409,0.002522523,0.029477477,13875,2020525135
616,6,22,0.000441014,0.001617053,13605,2763534640
619,4001,2984,0.01341726,0.010006774,298198,3526040710
62,462,1494,0.021194605,0.068538398,21798,5115148321
620,57,52,0.002930139,0.00267311,19453,2736828751
621,51,540,0.002960813,0.031349782,17225,2074132141
622,29,421,0.001556963,0.022602813,18626,1154233104
624,0,1628,0,0.1101116,14785,1671535268
625,197,722,0.009095946,0.033336411,21658,3387161446
626,59,228,0.003097438,0.011969761,19048,2968265470
627,27,558,0.001479047,0.030566968,18255,2952133515
629,68,1251,0.001723876,0.031714242,39446,5105423038
63,145,209,0.005497213,0.00792357,26377,5115132457
630,23,1936,0.001513855,0.127427105,15193,2083875652
631,4,294,0.000209633,0.015407997,19081,3451607716
632,28,115,0.00164117,0.006740519,17061,3254210063
633,37,523,0.002709829,0.038303794,13654,3245630211
634,7,0,0.000459438,0,15236,3445572175
635,19,545,0.000885162,0.02539017,21465,2067427362
636,33,1286,0.001301929,0.050735787,25347,2066028376
637,514,410,0.019305164,0.015399061,26625,3153424740
638,189,3851,0.004165473,0.084874264,45373,2718527471
64,20,996,0.001089681,0.0542661,18354,5105061321
641,47,189,0.00248008,0.009973088,18951,2972107822
642,48,730,0.002531112,0.038493989,18964,2958243168
643,47,334,0.00230144,0.016354911,20422,1600834288
644,898,2539,0.025858097,0.073111034,34728,1647825688
645,171,885,0.004071332,0.021070927,42001,1521578844
649,49,1720,0.000932605,0.032736339,52541,2571158744
65,0,327,0,0.011056262,29576,5105022146
650,363,4522,0.010744731,0.133850343,33784,3424085654
651,335,6783,0.005572652,0.112833735,60115,3463015570
652,60,1027,0.001663202,0.028468468,36075,2548238855
655,5,17,0.000359531,0.001222406,13907,3434185813
656,101,2102,0.006151035,0.128014616,16420,9747874071
657,7,5421,0.000163113,0.126319469,42915,1121607061
658,75,138,0.003143995,0.005784951,23855,2007672028
659,60,1426,0.002689739,0.063926122,22307,2652700158
66,50,1221,0.002780404,0.067897459,17983,5115175330
660,66,190,0.003177813,0.00914825,20769,2677350232
661,99,477,0.004519103,0.021773862,21907,2685015516
662,111,332,0.004660341,0.013939038,23818,1151513425
666,116,313,0.002821561,0.007613349,41112,3458044805
667,61,286,0.002110581,0.009895509,28902,2068848716
669,192,4682,0.004895087,0.119368738,39223,2072418232
67,356,1065,0.004270992,0.012776985,83353,5115274026
670,104,943,0.001959639,0.01776865,53071,2005364085
671,59,137,0.003260209,0.007570316,18097,2603025270
672,50,2263,0.001930576,0.087377891,25899,2615754025
674,63,173,0.003182622,0.008739581,19795,1562846466
675,128,2171,0.005592206,0.094849054,22889,2033114420
680,472,633,0.02067274,0.027724247,22832,1366471503
681,8,664,0.000349681,0.029023516,22878,1326014881
684,7,165,0.000305051,0.007190482,22947,9733838562
685,60,203,0.003546938,0.012000473,16916,9762830225
687,96,549,0.004254188,0.024328636,22566,1123544843
688,197,1610,0.007480539,0.061135371,26335,1538463284
690,0,0,0,0,26802,9787064524
692,14,109,0.000582387,0.004534298,24039,1507035355
695,160,775,0.007365804,0.035678114,21722,1131527820
696,79,944,0.003405613,0.040694917,23197,1561701378
699,286,230,0.013523098,0.010875219,21149,2941414785
701,4,1053,0.000209864,0.05524659,19060,1127078657
703,110,130,0.005767315,0.006815918,19073,1561680741
704,38,324,0.001980095,0.016882914,19191,1131182582
705,113,3654,0.002621749,0.084777615,43101,2508838880
